user_id,event_id,label,user_total_bookings,user_avg_price_paid,user_avg_group_size,user_favorite_category,user_preferred_hour,event_category,event_price,event_capacity,event_hour,event_is_weekend,event_days_until,event_availability,event_popularity,event_avg_rating,event_avg_sentiment,interaction_same_category,interaction_same_host,context_price_ratio,context_category_match,context_cat_novelty,context_hour_diff,context_price_within_range,context_price_within_std
1,1,0,4,46.25,1.25,CULTURE,8,MUSIC,35.0,200,19,0,78,1.0,0,0.0,0.0,1,4,0.7568,0,0,11,1,0
1,2,0,4,46.25,1.25,CULTURE,8,FOOD,55.0,30,9,0,43,1.0,0,0.0,0.0,0,4,1.1892,0,1,1,1,0
1,3,0,4,46.25,1.25,CULTURE,8,OUTDOOR,250.0,15,6,0,170,1.0,0,0.0,0.0,1,4,5.4054,0,0,2,0,0
1,4,3,4,46.25,1.25,CULTURE,8,CULTURE,20.0,50,9,0,22,1.0,1,0.0,0.0,1,4,0.4324,1,0,1,1,1
1,5,0,4,46.25,1.25,CULTURE,8,ART,45.0,25,9,1,68,1.0,0,0.0,0.0,0,4,0.973,0,1,1,1,0
1,6,0,4,46.25,1.25,CULTURE,8,FESTIVAL,60.0,80,18,0,101,1.0,0,0.0,0.0,0,4,1.2973,0,1,10,0,0
1,7,0,4,46.25,1.25,CULTURE,8,WORKSHOP,90.0,12,9,0,136,1.0,0,0.0,0.0,0,4,1.9459,0,1,1,0,0
1,8,0,4,46.25,1.25,CULTURE,8,SPORT,15.0,120,10,0,58,1.0,1,0.0,0.0,0,4,0.3243,0,1,2,1,1
1,9,0,4,46.25,1.25,CULTURE,8,TOUR,65.0,40,8,0,92,1.0,0,0.0,0.0,0,4,1.4054,0,1,0,0,0
1,10,0,4,46.25,1.25,CULTURE,8,FAMILY,30.0,100,10,1,109,1.0,0,0.0,0.0,0,4,0.6486,0,1,2,1,1
1,11,0,4,46.25,1.25,CULTURE,8,NIGHTLIFE,45.0,150,22,1,82,1.0,0,0.0,0.0,0,4,0.973,0,1,14,1,0
1,12,0,4,46.25,1.25,CULTURE,8,THEATER,25.0,60,19,0,51,1.0,2,0.0,0.0,1,4,0.5405,0,0,11,1,1
1,13,3,4,46.25,1.25,CULTURE,8,OUTDOOR,40.0,20,8,0,26,1.0,1,0.0,0.0,1,4,0.8649,0,0,0,1,0
1,14,0,4,46.25,1.25,CULTURE,8,OTHER,120.0,15,20,1,159,1.0,0,0.0,0.0,0,4,2.5946,0,1,12,0,0
1,15,0,4,46.25,1.25,CULTURE,8,FOOD,50.0,50,14,1,75,1.0,0,0.0,0.0,0,4,1.0811,0,1,6,1,0
1,16,0,4,46.25,1.25,CULTURE,8,WORKSHOP,85.0,8,10,1,116,1.0,0,0.0,0.0,0,4,1.8378,0,1,2,0,0
1,17,3,4,46.25,1.25,CULTURE,8,MUSIC,55.0,70,22,1,89,1.0,1,0.0,0.0,1,4,1.1892,0,0,14,1,0
1,18,0,4,46.25,1.25,CULTURE,8,CULTURE,70.0,30,9,0,129,1.0,0,0.0,0.0,1,4,1.5135,1,0,1,0,0
1,19,0,4,46.25,1.25,CULTURE,8,SPORT,35.0,20,8,0,166,1.0,0,0.0,0.0,0,4,0.7568,0,1,0,1,0
1,20,0,4,46.25,1.25,CULTURE,8,FESTIVAL,20.0,100,10,0,206,1.0,0,0.0,0.0,0,4,0.4324,0,1,2,1,1
1,21,0,4,46.25,1.25,CULTURE,8,ART,40.0,25,9,0,63,1.0,0,0.0,0.0,0,4,0.8649,0,1,1,1,0
1,22,0,4,46.25,1.25,CULTURE,8,TOUR,80.0,15,8,0,142,1.0,0,0.0,0.0,0,4,1.7297,0,1,0,0,0
1,23,0,4,46.25,1.25,CULTURE,8,FAMILY,12.0,40,15,0,71,1.0,0,0.0,0.0,0,4,0.2595,0,1,7,0,1
1,24,0,4,46.25,1.25,CULTURE,8,NIGHTLIFE,30.0,80,21,0,98,1.0,0,0.0,0.0,0,4,0.6486,0,1,13,1,1
1,25,0,4,46.25,1.25,CULTURE,8,THEATER,18.0,40,19,0,150,1.0,0,0.0,0.0,1,4,0.3892,0,0,11,1,1
1,26,0,4,46.25,1.25,CULTURE,8,FOOD,60.0,45,10,0,85,1.0,0,0.0,0.0,0,4,1.2973,0,1,2,0,0
1,27,0,4,46.25,1.25,CULTURE,8,OUTDOOR,150.0,10,9,0,38,1.0,0,0.0,0.0,1,4,3.2432,0,0,1,0,0
1,28,0,4,46.25,1.25,CULTURE,8,CULTURE,35.0,50,9,0,135,1.0,1,0.0,0.0,1,4,0.7568,1,0,1,1,0
1,29,0,4,46.25,1.25,CULTURE,8,WORKSHOP,50.0,20,14,0,112,1.0,0,0.0,0.0,0,4,1.0811,0,1,6,1,0
1,30,0,4,46.25,1.25,CULTURE,8,MUSIC,40.0,90,19,0,185,1.0,0,0.0,0.0,1,4,0.8649,0,0,11,1,0
1,31,0,4,46.25,1.25,CULTURE,8,SPORT,65.0,12,8,0,190,1.0,0,0.0,0.0,0,4,1.4054,0,1,0,0,0
1,32,0,4,46.25,1.25,CULTURE,8,ART,25.0,40,10,0,78,1.0,0,0.0,0.0,0,4,0.5405,0,1,2,1,1
1,33,0,4,46.25,1.25,CULTURE,8,FESTIVAL,75.0,120,10,1,221,1.0,0,0.0,0.0,0,4,1.6216,0,1,2,0,0
1,34,0,4,46.25,1.25,CULTURE,8,TOUR,95.0,25,8,0,146,1.0,0,0.0,0.0,0,4,2.0541,0,1,0,0,0
1,35,0,4,46.25,1.25,CULTURE,8,FAMILY,18.0,18,14,1,61,1.0,0,0.0,0.0,0,4,0.3892,0,1,6,1,1
1,36,0,4,46.25,1.25,CULTURE,8,NIGHTLIFE,85.0,80,20,0,120,1.0,0,0.0,0.0,0,4,1.8378,0,1,12,0,0
1,37,3,4,46.25,1.25,CULTURE,8,THEATER,15.0,60,20,1,74,1.0,2,0.0,0.0,1,4,0.3243,0,0,12,1,1
1,38,0,4,46.25,1.25,CULTURE,8,FOOD,35.0,70,17,1,130,1.0,0,0.0,0.0,0,4,0.7568,0,1,9,1,0
1,39,0,4,46.25,1.25,CULTURE,8,WORKSHOP,70.0,8,9,1,180,1.0,0,0.0,0.0,0,4,1.5135,0,1,1,0,0
1,40,0,4,46.25,1.25,CULTURE,8,OUTDOOR,60.0,30,8,0,64,1.0,0,0.0,0.0,1,4,1.2973,0,0,0,0,0
1,41,0,4,46.25,1.25,CULTURE,8,MUSIC,10.0,100,20,0,106,1.0,0,0.0,0.0,1,4,0.2162,0,0,12,0,1
1,42,0,4,46.25,1.25,CULTURE,8,CULTURE,85.0,20,8,1,200,1.0,0,0.0,0.0,1,4,1.8378,1,0,0,0,0
1,43,0,4,46.25,1.25,CULTURE,8,ART,45.0,50,14,0,155,1.0,0,0.0,0.0,0,4,0.973,0,1,6,1,0
1,44,0,4,46.25,1.25,CULTURE,8,SPORT,25.0,45,7,1,206,1.0,0,0.0,0.0,0,4,0.5405,0,1,1,1,1
1,45,0,4,46.25,1.25,CULTURE,8,TOUR,55.0,12,14,1,173,1.0,0,0.0,0.0,0,4,1.1892,0,1,6,1,0
1,46,0,4,46.25,1.25,CULTURE,8,FESTIVAL,15.0,120,9,1,32,1.0,1,0.0,0.0,0,4,0.3243,0,1,1,1,1
1,47,0,4,46.25,1.25,CULTURE,8,WORKSHOP,40.0,10,10,1,221,1.0,0,0.0,0.0,0,4,0.8649,0,1,2,1,0
1,48,0,4,46.25,1.25,CULTURE,8,FOOD,35.0,60,9,0,122,1.0,0,0.0,0.0,0,4,0.7568,0,1,1,1,0
1,49,0,4,46.25,1.25,CULTURE,8,OUTDOOR,45.0,25,16,0,140,1.0,0,0.0,0.0,1,4,0.973,0,0,8,1,0
1,50,0,4,46.25,1.25,CULTURE,8,CULTURE,50.0,30,9,0,157,1.0,0,0.0,0.0,1,4,1.0811,1,0,1,1,0
1,51,0,4,46.25,1.25,CULTURE,8,ART,60.0,15,10,1,214,1.0,0,0.0,0.0,0,4,1.2973,0,1,2,0,0
1,52,0,4,46.25,1.25,CULTURE,8,NIGHTLIFE,50.0,50,21,0,227,1.0,0,0.0,0.0,0,4,1.0811,0,1,13,1,0
1,53,0,4,46.25,1.25,CULTURE,8,MUSIC,30.0,100,19,0,150,1.0,0,0.0,0.0,1,4,0.6486,0,0,11,1,1
1,54,0,4,46.25,1.25,CULTURE,8,SPORT,180.0,20,9,0,79,1.0,0,0.0,0.0,0,4,3.8919,0,1,1,0,0
